,fno,country,year,season,lat,long,pc,cem,ast,nplsqm,ccd,vartype,fym,n,p,k,mf,wcp,iu,hu,fu,cs,ldg,yield
307,307,VNM,2011,WS,9.7606,105.5505,1,2,0,NA,93,2,0,NA,NA,NA,NA,2,5,1,7,4,0,5.19
308,308,VNM,2011,WS,9.7954,105.5122,1,2,0,NA,95,2,0,NA,NA,NA,NA,2,2,1,5,3,15,4.98
309,309,VNM,2011,WS,9.7868,105.5261,1,2,0,NA,91,2,0,NA,NA,NA,NA,1,3,0,7,3,0,4.99
310,310,VNM,2011,WS,10.0424,105.8406,1,2,0,NA,89,2,0,NA,NA,NA,NA,2,2,1,6,4,0,5.97
311,311,VNM,2011,WS,10.0421,105.8444,1,2,0,NA,88,2,0,NA,NA,NA,NA,2,3,1,4,4,0,6.18
312,312,VNM,2011,WS,10.0387,105.8901,1,2,0,NA,99,2,0,NA,NA,NA,NA,2,4,1,3,3,0,5.75
313,313,VNM,2011,WS,10.0565,105.8943,1,2,0,NA,97,2,0,NA,NA,NA,NA,2,5,2,2,4,0,6.06
314,314,VNM,2011,WS,10.2307,105.6767,1,2,0,NA,90,2,0,NA,NA,NA,NA,2,3,2,5,4,0,4.7
315,315,VNM,2011,WS,10.0622,105.6893,1,2,0,NA,89,2,0,NA,NA,NA,NA,2,5,1,7,4,0,5.57
316,316,VNM,2011,WS,10.173,105.5109,1,2,0,NA,92,2,0,NA,NA,NA,NA,2,3,1,7,4,0,5.2
317,317,VNM,2011,WS,10.1676,105.5135,1,2,0,NA,92,2,0,NA,NA,NA,NA,2,4,2,5,4,1,4.33
318,318,VNM,2011,WS,10.1961,105.5611,1,2,0,NA,91,2,0,NA,NA,NA,NA,2,6,1,7,4,0,7.24
319,319,VNM,2011,WS,10.1905,105.5206,1,2,0,NA,92,2,0,NA,NA,NA,NA,2,3,1,4,4,0,6.36
320,320,VNM,2011,WS,10.2128,105.568,1,2,0,NA,92,2,0,NA,NA,NA,NA,2,3,1,5,4,0,5.48
321,321,IDN,2012,DS,-6.8125,107.2736,1,1,17,NA,94,2,0,135,45,45,225,1,1,0,0,4,0,6.73
322,322,IDN,2012,DS,-6.8131,107.2733,1,1,17,NA,92,2,0,180,45,45,270,1,0,0,0,4,0,6.4
323,323,IDN,2012,DS,-6.8139,107.2733,1,1,0,NA,93,2,0,135,45,45,225,1,1,0,0,4,0,6.93
324,324,IDN,2012,DS,-6.8047,107.2606,0,1,20,NA,99,2,0,120,120,120,360,1,0,0,0,4,0,6.33
325,325,IDN,2012,DS,-6.8069,107.2569,1,1,20,NA,93,2,0,225,150,90,465,1,0,0,0,4,0,5.8
326,326,IDN,2012,DS,-6.7658,106.7692,1,1,0,NA,109,1,1,280.8,51.3,51.3,383.4,1,0,0,0,4,0,6.67
327,327,IDN,2012,DS,-6.7644,106.7683,1,1,0,NA,90,2,0,61.5,11.5,7.5,80.5,1,0,0,0,4,0,6.67
328,328,IDN,2012,DS,-6.7569,106.7692,1,1,17,NA,111,2,0,187.2,34.2,34.2,255.6,1,0,0,0,4,0,5.47
329,329,IDN,2012,DS,-6.7664,106.7828,1,1,0,NA,96,2,0,135,36,0,171,1,0,0,0,3,0,5.93
330,330,IDN,2012,DS,-6.7658,106.7825,1,1,0,NA,94,2,0,74.7,31.2,0,105.9,1,1,0,0,3,0,6.13
331,331,IDN,2012,DS,-6.2856,107.2956,1,1,22,NA,89,2,0,165,30,30,225,1,3,0,1,3,0,4.33
332,332,IDN,2012,DS,-6.2871,107.2968,1,1,22,NA,85,2,0,131.25,18.75,18.75,168.75,1,5,0,0,2,0,3.47
333,333,IDN,2012,DS,-6.2863,107.2859,1,1,22,NA,80,2,0,150,37.5,37.5,225,1,4,0,0,3,0,4.13
334,334,IDN,2012,DS,-6.2908,107.2973,1,1,25,NA,74,2,0,82.5,15,35,132.5,1,3,0,0,2,0,2.96
335,335,IDN,2012,DS,-6.288,107.2973,1,1,25,NA,74,2,0,82.5,15,35,132.5,1,3,0,0,4,0,3.2
336,336,IDN,2012,DS,-6.6198,106.6464,1,1,25,NA,94,2,0,45,45,45,135,1,4,0,0,4,0,7
337,337,IDN,2012,DS,-6.6164,106.6491,1,1,27,NA,98,2,0,120,30,30,180,1,1,0,0,4,0,7.5
338,338,IDN,2012,DS,-6.617,106.6481,1,1,25,NA,100,2,0,150,48,12,210,1,2,0,0,4,0,7.6
339,339,IDN,2012,DS,-6.6049,106.5723,1,1,25,NA,99,2,0,135,36,0,171,1,3,0,0,4,0,6.17
340,340,IDN,2012,DS,-6.6192,106.9809,1,1,25,NA,94,2,0,90,36,60,186,1,4,0,0,4,0,7.8
