,fno,country,year,season,lat,long,pc,cem,ast,nplsqm,ccd,vartype,fym,n,p,k,mf,wcp,iu,hu,fu,cs,ldg,yield
1,1,PHL,2010,WS,14.1751,121.2935,1,1,13,0,107,2,0,92,0,0,92,2,0,1,0,3,0,5.07
2,2,PHL,2010,WS,14.1747,121.2937,1,1,13,0,107,2,0,92,0,0,92,2,0,1,0,2,0,4.23
3,3,PHL,2010,WS,14.1766,121.3096,1,1,18,0,118,2,0,99.5,0,0,99.5,1,2,0,1,3,100,4.61
4,4,PHL,2010,WS,14.1765,121.3092,1,1,18,0,118,2,0,107.3,0,0,107.3,1,2,0,0,3,100,4.88
5,5,PHL,2010,WS,14.1592,121.3077,1,1,9,0,101,2,0,56.5,10.5,10.5,77.5,2,1,1,0,3,0,3.93
6,6,PHL,2010,WS,14.1594,121.3082,1,1,9,0,101,2,0,56.5,10.5,10.5,77.5,2,0,1,0,3,0,4.87
7,7,PHL,2010,WS,14.1585,121.3086,1,1,12,0,75,2,0,115,0,0,115,2,2,2,0,2,0,4.89
8,8,PHL,2010,WS,14.1582,121.3087,1,1,12,0,75,2,0,95,0,0,95,2,2,2,0,3,0,4.45
9,9,PHL,2010,WS,14.1583,121.3078,1,1,18,0,94,2,0,88,0,0,88,1,2,0,1,3,0,5.24
10,10,PHL,2010,WS,14.1581,121.3079,1,1,18,0,94,2,0,92,0,0,92,1,2,0,1,3,0,6.2
11,11,PHL,2010,WS,14.2663,121.4352,1,1,15,0,92,2,0,65,7,7,79,2,2,1,0,3,0,7.6
12,12,PHL,2010,WS,14.2673,121.4346,1,1,15,0,115,2,0,108,0,0,108,2,3,1,0,3,0,6.21
13,13,PHL,2010,WS,14.2686,121.4344,1,1,25,0,101,2,0,64,0,0,64,1,1,0,0,3,0,4.92
14,14,PHL,2010,WS,14.2692,121.4343,1,1,17,0,119,2,0,138,0,0,138,2,3,1,0,3,0,5.26
15,15,PHL,2010,WS,14.2677,121.4347,1,1,17,0,137,2,0,103.5,0,0,103.5,1,2,0,0,3,25,5.47
16,16,PHL,2010,WS,14.2701,121.4342,1,1,21,0,102,2,1,69,0,0,69,2,1,1,0,3,0,4.87
17,17,PHL,2010,WS,14.2702,121.4347,1,1,21,0,102,2,1,76,0,0,76,2,1,1,0,3,0,4.98
18,18,PHL,2010,WS,14.2659,121.2548,1,1,15,0,100,2,0,55,0,0,55,2,2,1,0,4,0,6.19
19,19,PHL,2010,WS,14.266,121.438,1,1,15,0,100,2,0,55,0,0,55,2,2,1,0,3,0,5.55
20,20,PHL,2010,WS,14.2659,121.4387,1,1,20,0,97,3,0,22,0,0,22,1,3,0,0,2,0,4.49
21,21,PHL,2011,DS,14.1751,121.2935,1,1,20,0,98,2,1,75.5,10,10,95.5,3,8,1,0,3,0,4.86
22,22,PHL,2011,DS,14.1747,121.2937,1,1,20,0,95,2,1,75.5,10,10,95.5,3,8,1,0,2,0,4.74
23,23,PHL,2011,DS,14.1766,121.3096,1,1,22,0,109,1,1,130.2,0,0,130.2,3,3,2,0,2,0,5.02
24,24,PHL,2011,DS,14.1765,121.3092,1,1,22,0,109,1,1,130.2,0,0,130.2,3,3,2,0,2,0,4.72
25,25,PHL,2011,DS,14.1592,121.3077,1,1,13,0,103,2,1,126.5,0,0,126.5,3,2,2,0,3,0,6.69
26,26,PHL,2011,DS,14.1594,121.3082,1,1,13,0,103,2,1,126.5,0,0,126.5,3,2,2,0,4,0,6.93
27,27,PHL,2011,DS,14.1585,121.3086,1,1,19,0,112,1,1,135.5,7.8,7.9,151.2,3,1,3,0,2,0,5.35
28,28,PHL,2011,DS,14.1582,121.3087,1,1,19,0,112,1,1,135.5,7.8,7.9,151.2,3,1,3,0,3,0,5.14
29,29,PHL,2011,DS,14.1583,121.3078,1,1,22,0,99,2,1,113,0,0,113,3,2,1,0,3,0,4.9
30,30,PHL,2011,DS,14.1581,121.3079,1,1,22,0,99,2,1,113,0,0,113,3,2,1,0,3,0,3.89
31,31,PHL,2011,DS,14.2663,121.4352,1,1,14,0,93,2,1,122,7,7,136,1,2,0,0,3,0,4.7
32,32,PHL,2011,DS,14.2673,121.4346,1,1,15,0,99,2,1,108,0,0,108,3,1,1,0,3,0,6.52
33,33,PHL,2011,DS,14.2686,121.4344,1,1,20,0,94,2,1,102.2,0,0,102.2,3,1,0,0,3,0,5.76
34,34,PHL,2011,DS,14.2692,121.4343,1,1,0,0,100,2,1,128.8,0,0,128.8,3,3,0,0,3,0,6.05
35,35,PHL,2011,DS,14.2677,121.4347,1,1,0,0,97,2,1,115,0,57.5,172.5,3,2,0,0,3,0,5.19
36,36,PHL,2011,DS,14.2701,121.4342,1,1,17,0,101,2,1,114,40.5,10.5,165,3,2,1,0,3,0,5.35
37,37,PHL,2011,DS,14.2702,121.4347,1,1,17,0,101,2,1,114,40.5,10.5,165,3,2,1,0,3,0,4.88
38,38,PHL,2011,DS,14.2659,121.2548,1,1,14,0,100,2,1,53.6,0,0,53.6,3,1,0,0,3,0,5.55
39,39,PHL,2011,DS,14.266,121.438,1,1,14,0,100,2,1,53.6,0,0,53.6,3,1,0,0,3,0,5.36
40,40,PHL,2011,DS,14.2659,121.4387,1,1,0,0,114,2,1,115,0,0,115,3,0,1,0,2,0,7.03
41,41,VNM,2010,WS,10.5424,104.8087,1,2,0,460,64,1,0,71.1,28,32.7,131.7,2,3,1,6,4,100,4.85
42,42,VNM,2010,WS,10.4574,105.3294,1,2,0,390,96,2,0,121.7,37.2,41.2,200.1,2,7,1,9,4,1,4.96
43,43,VNM,2010,WS,10.4468,105.3154,1,2,0,350,92,2,0,127.4,20,40.8,188.2,2,3,2,8,4,0,5.16
44,44,VNM,2010,WS,10.448,105.3051,1,2,0,410,89,2,0,115.5,82.6,50.6,248.8,2,6,1,8,4,0,7.38
45,45,VNM,2010,WS,10.6026,105.8104,1,2,0,570,64,2,0,164.6,126.5,34.2,325.3,2,4,1,3,3,0,3.05
46,46,VNM,2010,WS,10.5985,105.8428,1,2,0,660,93,2,0,79.2,68.4,49,196.6,2,4,1,4,3,0,5.22
47,47,VNM,2010,WS,10.5985,105.8428,1,2,0,650,86,2,0,95.1,62.7,57.7,215.5,2,1,1,4,3,1,5.02
48,48,VNM,2010,WS,9.7624,105.5664,1,2,0,500,90,2,0,94.6,66.3,23,184,2,2,3,8,3,0,2.99
49,49,VNM,2010,WS,9.7519,105.5711,1,2,0,320,87,2,0,68.2,77.7,23,168.9,2,4,1,5,4,0,6.61
50,50,VNM,2010,WS,9.75,105.557,1,2,0,320,96,2,0,70.6,61.5,4.3,136.4,2,1,4,11,4,90,3.15
51,51,VNM,2010,WS,10.6227,106.0422,1,2,0,510,94,2,0,87,76,50,213,2,2,4,6,3,0,4.36
52,52,VNM,2010,WS,10.5825,106.059,1,2,0,340,89,2,0,130,151,53,334,2,4,1,10,3,1,3.04
53,53,VNM,2010,WS,10.568,106.0645,1,2,0,320,90,2,0,93.6,90,47.5,231.1,2,2,1,8,3,0,3.63
